equipment;equipment_type
R-142 NSA;SIG
R-166-0.5;CMD
1L217;RAD
1L219 ZOOPARK1;RAD
1L120 KREDO-M1;RAD
1L22 PAROL;RAD
1L267 MOSKVA-1;RAD
1L277;RAD
1S91 STRAIGHT FLUSH;RAD
5N64 BIG BIRD;RAD
96L6E CHEESE BOARD;RAD
9S15M2;RAD
9S18M1-1 SNOW DRIFT;RAD
9S19M2;RAD
9S32M;RAD
9S36 CHAIR BACK;RAD
ARK-1M;RAD
FARA-1;RAD
GIRAFFE 40 TA RADAR;RAD
39N6E KASTA-2E2 FLAT FACE E;RAD
METEO RADAR;RAD
NEBO SVU;RAD
P-15 FLAT FACE A;RAD
P-15 FLAT FACE C;RAD
P-40 LONG TRACK;RAD
PRV-11 SIDE NET;RAD
PRV-9 THIN SKIN;RAD
PSNR-8M;RAD
RADAR TRAJECTOGRAP;RAD
PRPU-1M 9S-80 DOG EAR;RAD
SNAR-10M;RAD
GAZ-3962 TABLETKA;LOG
BMM-1;LOG
BMM-2;LOG
BMM-3;LOG
GAZ-66;LOG
GAZ-233114 TIGR-M;TUV
KAMAZ-5350;LOG
KRAZ-255B;LOG
TRAILER 2PN-4M;LOG
PAK-200M;LOG
FIELD MOBILE BAKERY;LOG
TRUCK MTO-AM1;LOG
UAZ-452A;LOG
UAZ-469;LOG
UAZ-469B;LOG
URAL-5557;LOG
URAL-365;LOG
URAL-375;LOG
KAMAZ-6560;LOG
KAMAZ-65606;LOG
KAMAZ-63968;LOG
URAL-4320;LOG
URAL-43206;LOG
ZIL-131;LOG
BIRD EYE 400;UAV
DOZOR-600;UAV
GRANAT-1;UAV
ELERON-3SV;UAV
GRANAT-4;UAV
FORPOST;UAV
ORLAN-10;UAV
SEARCHER Mk2;UAV
YAK-152;AA
YAK-130;AA
SU-24MP;AA
MIG-31BM;AA
SU-30MKK;MF
SU-35S;MF
SU-27SKM;MF
MIG-29SMT;MF
SU-57;MF
SU-27SM;MF
SU-25SM;MF
TU-95MSM;MF
A-50U;MF
MIG-21;JF
AN-72;TA
AN-24;TA
IL-76;TA
IL-78M;TA
AN-26;TA
AN-12;TA
MI-26;HTH
MI-8;TH
MI-17;TH
MI-2;TH
MI-24 V HIND-E;AH
MI-28/MI-28N;AH
MI-28;AH
MI-35M;AH
KA-52 HOKUM B;AH
KA-52M;AH
LADA CLASS;SSK
SANG-O CLASS;SSK
GHADIR CLASS;SSK
DOLPHIN CLASS;SSK
KARAKURT CLASS;FS
STEREGUSCHCHIY CLASS;FS
GRISHA V CLASS;FS
JIANGKAI II (TYPE 054A);FF
MEKO 360 CLASS;FF
FRANKENTHAL CLASS;MCM
IL-38N;ASW
KA-28;ASW
KA-27PS;SAR
BERLIN CLASS;CS
DEEPAK CLASS;CS
SERNA CLASS;LD
IVAN GREN CLASS;LD
RAPTOR CLASS;PC
